product_line_id,product_line_name,description
location,Location,Location analytics and site selection
discovery,Discovery,Consumer insights and audience discovery
signals,Signals,Real-time market signals and social listening
action,Action,Campaign activation and audience targeting
data_services,Data Services,Custom data and analytics services
